Date,Vteam,VPTS,Hteam,HPTS
2015-10-27 08:00:00,Detroit Pistons,106,Atlanta Hawks,94
2015-10-27 08:00:00,Cleveland Cavaliers,95,Chicago Bulls,97
2015-10-27 10:30:00,New Orleans Pelicans,95,Golden State Warriors,111
2015-10-28 07:00:00,Washington Wizards,88,Orlando Magic,87
2015-10-28 07:30:00,Philadelphia 76ers,95,Boston Celtics,112
2015-10-28 07:30:00,Chicago Bulls,115,Brooklyn Nets,100
2015-10-28 07:30:00,Utah Jazz,87,Detroit Pistons,92
2015-10-28 07:30:00,Indiana Pacers,99,Toronto Raptors,106
2015-10-28 07:30:00,Charlotte Hornets,94,Miami Heat,104
2015-10-28 08:00:00,New York Knicks,122,Milwaukee Bucks,97
2015-10-28 08:00:00,San Antonio Spurs,106,Oklahoma City Thunder,112
2015-10-28 08:00:00,Denver Nuggets,105,Houston Rockets,85
2015-10-28 08:00:00,Cleveland Cavaliers,106,Memphis Grizzlies,76
2015-10-28 10:00:00,Dallas Mavericks,111,Phoenix Suns,95
2015-10-28 10:00:00,New Orleans Pelicans,94,Portland Trail Blazers,112
2015-10-28 10:00:00,Los Angeles Clippers,111,Sacramento Kings,104
2015-10-28 10:30:00,Minnesota Timberwolves,112,Los Angeles Lakers,111
2015-10-29 07:00:00,Memphis Grizzlies,112,Indiana Pacers,103
2015-10-29 08:00:00,Atlanta Hawks,112,New York Knicks,101
2015-10-29 10:30:00,Dallas Mavericks,88,Los Angeles Clippers,104
2015-10-30 07:00:00,Miami Heat,92,Cleveland Cavaliers,102
2015-10-30 07:00:00,Utah Jazz,99,Philadelphia 76ers,71
2015-10-30 07:00:00,Oklahoma City Thunder,139,Orlando Magic,136
2015-10-30 07:30:00,Chicago Bulls,94,Detroit Pistons,98
2015-10-30 07:30:00,Toronto Raptors,113,Boston Celtics,103
2015-10-30 08:00:00,Washington Wizards,118,Milwaukee Bucks,113
2015-10-30 08:00:00,Charlotte Hornets,94,Atlanta Hawks,97
2015-10-30 08:30:00,Brooklyn Nets,75,San Antonio Spurs,102
2015-10-30 09:00:00,Minnesota Timberwolves,95,Denver Nuggets,78
2015-10-30 09:30:00,Golden State Warriors,112,Houston Rockets,92
2015-10-30 10:00:00,Los Angeles Lakers,114,Sacramento Kings,132
2015-10-30 10:30:00,Portland Trail Blazers,92,Phoenix Suns,110
2015-10-31 07:00:00,New York Knicks,117,Washington Wizards,110
2015-10-31 07:00:00,Utah Jazz,97,Indiana Pacers,76
2015-10-31 07:30:00,Golden State Warriors,134,New Orleans Pelicans,120
2015-10-31 08:00:00,Brooklyn Nets,91,Memphis Grizzlies,101
2015-10-31 10:00:00,Phoenix Suns,101,Portland Trail Blazers,90
2015-10-31 10:30:00,Sacramento Kings,109,Los Angeles Clippers,114
2015-11-01 02:00:00,Atlanta Hawks,94,Charlotte Hornets,92
2015-11-01 03:30:00,San Antonio Spurs,95,Boston Celtics,87
2015-11-01 06:00:00,Milwaukee Bucks,87,Toronto Raptors,106
2015-11-01 06:00:00,Houston Rockets,89,Miami Heat,109
2015-11-01 07:00:00,Denver Nuggets,93,Oklahoma City Thunder,117
2015-11-01 07:00:00,Orlando Magic,87,Chicago Bulls,92
2015-11-01 09:30:00,Dallas Mavericks,103,Los Angeles Lakers,93
2015-11-02 07:00:00,Cleveland Cavaliers,107,Philadelphia 76ers,100
2015-11-02 07:30:00,Milwaukee Bucks,103,Brooklyn Nets,96
2015-11-02 07:30:00,San Antonio Spurs,94,New York Knicks,84
2015-11-02 08:00:00,Oklahoma City Thunder,105,Houston Rockets,110
2015-11-02 08:00:00,Portland Trail Blazers,106,Minnesota Timberwolves,101
2015-11-02 10:30:00,Memphis Grizzlies,69,Golden State Warriors,119
2015-11-02 10:30:00,Phoenix Suns,96,Los Angeles Clippers,102
2015-11-03 07:00:00,Chicago Bulls,105,Charlotte Hornets,130
2015-11-03 07:30:00,Indiana Pacers,94,Detroit Pistons,82
2015-11-03 07:30:00,Atlanta Hawks,98,Miami Heat,92
2015-11-03 08:00:00,Orlando Magic,103,New Orleans Pelicans,94
2015-11-03 08:30:00,Toronto Raptors,102,Dallas Mavericks,91
2015-11-03 10:00:00,Memphis Grizzlies,103,Sacramento Kings,89
2015-11-03 10:30:00,Denver Nuggets,120,Los Angeles Lakers,109
2015-11-04 07:00:00,Boston Celtics,98,Indiana Pacers,100
2015-11-04 07:00:00,San Antonio Spurs,99,Washington Wizards,102
2015-11-04 08:00:00,Brooklyn Nets,87,Atlanta Hawks,101
2015-11-04 08:00:00,New York Knicks,86,Cleveland Cavaliers,96
2015-11-04 08:00:00,Orlando Magic,114,Houston Rockets,119
2015-11-04 08:00:00,Philadelphia 76ers,87,Milwaukee Bucks,91
2015-11-04 08:00:00,Toronto Raptors,103,Oklahoma City Thunder,98
2015-11-04 09:00:00,Sacramento Kings,97,Phoenix Suns,118
2015-11-04 09:00:00,Portland Trail Blazers,108,Utah Jazz,92
2015-11-04 10:30:00,Los Angeles Clippers,108,Golden State Warriors,112
2015-11-05 08:00:00,Oklahoma City Thunder,98,Chicago Bulls,104
2015-11-05 08:00:00,Miami Heat,96,Minnesota Timberwolves,84
2015-11-05 08:30:00,Charlotte Hornets,108,Dallas Mavericks,94
2015-11-05 09:00:00,Utah Jazz,96,Denver Nuggets,84
2015-11-05 10:30:00,Memphis Grizzlies,96,Portland Trail Blazers,115
2015-11-06 07:00:00,Toronto Raptors,87,Orlando Magic,92
2015-11-06 07:30:00,Los Angeles Lakers,104,Brooklyn Nets,98
2015-11-06 07:30:00,Philadelphia 76ers,102,Cleveland Cavaliers,108
2015-11-06 07:30:00,Washington Wizards,98,Boston Celtics,118
2015-11-06 07:30:00,Milwaukee Bucks,99,New York Knicks,92
2015-11-06 08:00:00,Atlanta Hawks,121,New Orleans Pelicans,115
2015-11-06 08:00:00,Miami Heat,87,Indiana Pacers,90
2015-11-06 09:30:00,Detroit Pistons,100,Phoenix Suns,92
2015-11-06 10:30:00,Denver Nuggets,104,Golden State Warriors,119
2015-11-06 10:30:00,Houston Rockets,116,Sacramento Kings,110
2015-11-07 06:00:00,Minnesota Timberwolves,102,Chicago Bulls,93
2015-11-07 07:00:00,Orlando Magic,105,Philadelphia 76ers,97
2015-11-07 07:30:00,Washington Wizards,99,Atlanta Hawks,114
2015-11-07 08:30:00,New Orleans Pelicans,98,Dallas Mavericks,107
2015-11-07 08:30:00,Brooklyn Nets,86,Milwaukee Bucks,94
2015-11-07 08:30:00,Charlotte Hornets,94,San Antonio Spurs,114
2015-11-07 09:00:00,Memphis Grizzlies,79,Utah Jazz,89
2015-11-07 10:00:00,Golden State Warriors,103,Sacramento Kings,94
2015-11-07 10:30:00,Houston Rockets,109,Los Angeles Clippers,105
2015-11-08 03:30:00,Indiana Pacers,97,Cleveland Cavaliers,101
2015-11-08 03:30:00,Los Angeles Lakers,95,New York Knicks,99
2015-11-08 06:00:00,Toronto Raptors,76,Miami Heat,96
2015-11-08 07:00:00,Phoenix Suns,103,Oklahoma City Thunder,124
2015-11-08 09:00:00,Detroit Pistons,120,Portland Trail Blazers,103
2015-11-09 07:00:00,Orlando Magic,84,Indiana Pacers,97
2015-11-09 07:00:00,Chicago Bulls,111,Philadelphia 76ers,88
2015-11-09 08:00:00,Minnesota Timberwolves,117,Atlanta Hawks,107
2015-11-09 09:00:00,Portland Trail Blazers,104,Denver Nuggets,108
2015-11-09 10:00:00,San Antonio Spurs,106,Sacramento Kings,88
2015-11-09 10:30:00,Detroit Pistons,95,Golden State Warriors,109
2015-11-09 10:30:00,Memphis Grizzlies,92,Los Angeles Clippers,94
2015-11-10 07:00:00,Oklahoma City Thunder,125,Washington Wizards,101
2015-11-10 07:00:00,Utah Jazz,114,Cleveland Cavaliers,118
2015-11-10 07:30:00,New York Knicks,111,Toronto Raptors,109
2015-11-10 07:30:00,Los Angeles Lakers,88,Miami Heat,101
2015-11-10 08:00:00,Boston Celtics,99,Milwaukee Bucks,83
2015-11-10 08:00:00,Charlotte Hornets,104,Minnesota Timberwolves,95
2015-11-10 08:00:00,Dallas Mavericks,105,New Orleans Pelicans,120
2015-11-11 07:00:00,Toronto Raptors,119,Philadelphia 76ers,103
2015-11-11 07:00:00,New York Knicks,93,Charlotte Hornets,95
2015-11-11 07:00:00,Los Angeles Lakers,99,Orlando Magic,101
2015-11-11 07:30:00,Indiana Pacers,102,Boston Celtics,91
2015-11-11 08:00:00,Los Angeles Clippers,108,Dallas Mavericks,118
2015-11-11 08:00:00,Brooklyn Nets,106,Houston Rockets,98
2015-11-11 08:00:00,Golden State Warriors,100,Memphis Grizzlies,84
2015-11-11 08:00:00,New Orleans Pelicans,98,Atlanta Hawks,106
2015-11-11 09:00:00,Milwaukee Bucks,102,Denver Nuggets,103
2015-11-11 10:00:00,Detroit Pistons,92,Sacramento Kings,101
2015-11-11 10:30:00,San Antonio Spurs,113,Portland Trail Blazers,101
2015-11-12 07:30:00,Utah Jazz,91,Miami Heat,92
2015-11-12 08:00:00,Golden State Warriors,129,Minnesota Timberwolves,116
2015-11-12 10:30:00,Los Angeles Clippers,104,Phoenix Suns,118
2015-11-13 07:00:00,Utah Jazz,93,Orlando Magic,102
2015-11-13 07:00:00,Minnesota Timberwolves,103,Indiana Pacers,107
2015-11-13 07:30:00,Cleveland Cavaliers,90,New York Knicks,84
2015-11-13 07:30:00,New Orleans Pelicans,81,Toronto Raptors,100
2015-11-13 07:30:00,Atlanta Hawks,93,Boston Celtics,106
2015-11-13 08:00:00,Portland Trail Blazers,100,Memphis Grizzlies,101
2015-11-13 08:00:00,Charlotte Hornets,97,Chicago Bulls,102
2015-11-13 08:00:00,Philadelphia 76ers,85,Oklahoma City Thunder,102
2015-11-13 08:30:00,Los Angeles Lakers,82,Dallas Mavericks,90
2015-11-13 09:00:00,Houston Rockets,98,Denver Nuggets,107
2015-11-13 10:00:00,Brooklyn Nets,109,Sacramento Kings,111
2015-11-14 03:30:00,Detroit Pistons,96,Los Angeles Clippers,101
2015-11-14 07:00:00,Orlando Magic,99,Washington Wizards,108
2015-11-14 08:00:00,Dallas Mavericks,110,Houston Rockets,98
2015-11-14 08:30:00,Cleveland Cavaliers,105,Milwaukee Bucks,108
2015-11-14 08:30:00,Philadelphia 76ers,83,San Antonio Spurs,92
2015-11-14 09:00:00,Denver Nuggets,81,Phoenix Suns,105
2015-11-14 10:30:00,Brooklyn Nets,99,Golden State Warriors,107
2015-11-15 00:00:00,New Orleans Pelicans,87,New York Knicks,95
2015-11-15 03:30:00,Memphis Grizzlies,114,Minnesota Timberwolves,106
2015-11-15 05:00:00,Portland Trail Blazers,94,Charlotte Hornets,106
2015-11-15 06:00:00,Utah Jazz,97,Atlanta Hawks,96
2015-11-15 07:00:00,Boston Celtics,100,Oklahoma City Thunder,85
2015-11-15 09:00:00,Toronto Raptors,101,Sacramento Kings,107
2015-11-15 09:30:00,Detroit Pistons,85,Los Angeles Lakers,97
2015-11-16 07:00:00,Dallas Mavericks,92,Philadelphia 76ers,86
2015-11-16 08:00:00,Indiana Pacers,95,Chicago Bulls,96
2015-11-16 08:00:00,Boston Celtics,111,Houston Rockets,95
2015-11-16 08:00:00,Oklahoma City Thunder,114,Memphis Grizzlies,122
2015-11-16 08:30:00,Portland Trail Blazers,80,San Antonio Spurs,93
2015-11-16 09:00:00,Los Angeles Lakers,101,Phoenix Suns,120
2015-11-17 07:00:00,Milwaukee Bucks,86,Washington Wizards,115
2015-11-17 07:30:00,Minnesota Timberwolves,103,Miami Heat,91
2015-11-17 07:30:00,Charlotte Hornets,94,New York Knicks,102
2015-11-17 07:30:00,Cleveland Cavaliers,99,Detroit Pistons,104
2015-11-17 07:30:00,Atlanta Hawks,88,Brooklyn Nets,90
2015-11-17 08:00:00,Denver Nuggets,115,New Orleans Pelicans,98
2015-11-17 10:30:00,Toronto Raptors,110,Golden State Warriors,115
2015-11-18 07:00:00,Brooklyn Nets,111,Charlotte Hornets,116
2015-11-18 07:00:00,Minnesota Timberwolves,101,Orlando Magic,104
2015-11-18 07:00:00,Indiana Pacers,112,Philadelphia 76ers,85
2015-11-18 07:30:00,Dallas Mavericks,106,Boston Celtics,102
2015-11-18 08:00:00,Sacramento Kings,97,Atlanta Hawks,103
2015-11-18 08:00:00,Portland Trail Blazers,103,Houston Rockets,108
2015-11-18 08:00:00,New Orleans Pelicans,103,Oklahoma City Thunder,110
2015-11-18 08:30:00,Denver Nuggets,98,San Antonio Spurs,109
2015-11-18 09:00:00,Toronto Raptors,89,Utah Jazz,93
2015-11-18 10:30:00,Chicago Bulls,103,Phoenix Suns,97
2015-11-19 07:30:00,Sacramento Kings,109,Miami Heat,116
2015-11-19 08:00:00,Milwaukee Bucks,100,Cleveland Cavaliers,115
2015-11-19 10:30:00,Golden State Warriors,124,Los Angeles Clippers,117
2015-11-20 07:00:00,Philadelphia 76ers,88,Charlotte Hornets,113
2015-11-20 07:30:00,Brooklyn Nets,95,Boston Celtics,120
2015-11-20 08:00:00,Detroit Pistons,96,Minnesota Timberwolves,86
2015-11-20 08:00:00,New York Knicks,93,Oklahoma City Thunder,90
2015-11-20 08:00:00,San Antonio Spurs,90,New Orleans Pelicans,104
2015-11-20 08:00:00,Houston Rockets,84,Memphis Grizzlies,96
2015-11-20 08:30:00,Utah Jazz,93,Dallas Mavericks,102
2015-11-20 09:00:00,Phoenix Suns,114,Denver Nuggets,107
2015-11-20 10:00:00,Los Angeles Clippers,91,Portland Trail Blazers,102
2015-11-20 10:30:00,Chicago Bulls,94,Golden State Warriors,106
2015-11-20 10:30:00,Toronto Raptors,102,Los Angeles Lakers,91
2015-11-21 05:00:00,Sacramento Kings,97,Orlando Magic,91
2015-11-21 07:00:00,Milwaukee Bucks,86,Indiana Pacers,123
2015-11-21 07:30:00,Atlanta Hawks,97,Cleveland Cavaliers,109
2015-11-21 07:30:00,Washington Wizards,97,Detroit Pistons,95
2015-11-21 08:00:00,New York Knicks,107,Houston Rockets,102
2015-11-21 08:00:00,Philadelphia 76ers,91,Miami Heat,96
2015-11-21 08:30:00,Memphis Grizzlies,82,San Antonio Spurs,92
2015-11-22 03:30:00,Toronto Raptors,91,Los Angeles Clippers,80
2015-11-22 06:00:00,Phoenix Suns,116,New Orleans Pelicans,122
2015-11-22 06:00:00,Boston Celtics,101,Brooklyn Nets,111
2015-11-22 07:00:00,Dallas Mavericks,114,Oklahoma City Thunder,117
2015-11-22 08:00:00,Golden State Warriors,118,Denver Nuggets,105
2015-11-22 09:30:00,Portland Trail Blazers,107,Los Angeles Lakers,93
2015-11-23 07:00:00,Orlando Magic,103,Cleveland Cavaliers,117
2015-11-23 07:00:00,Sacramento Kings,122,Charlotte Hornets,127
2015-11-23 07:30:00,New York Knicks,78,Miami Heat,95
2015-11-23 08:00:00,Detroit Pistons,88,Milwaukee Bucks,109
2015-11-23 08:00:00,Philadelphia 76ers,95,Minnesota Timberwolves,100
2015-11-23 08:30:00,Phoenix Suns,84,San Antonio Spurs,98
2015-11-23 09:00:00,Oklahoma City Thunder,111,Utah Jazz,89
2015-11-24 07:00:00,Indiana Pacers,123,Washington Wizards,106
2015-11-24 08:00:00,Dallas Mavericks,96,Memphis Grizzlies,110
2015-11-24 08:00:00,Boston Celtics,97,Atlanta Hawks,121
2015-11-24 09:00:00,Los Angeles Clippers,111,Denver Nuggets,94
2015-11-24 10:00:00,Chicago Bulls,93,Portland Trail Blazers,88
2015-11-24 10:30:00,Los Angeles Lakers,77,Golden State Warriors,111
