Date,Time,Vteam,VPTS,Hteam,HPTS
Fri Mar 10 2017,8:00 PM,Golden State Warriors,102,Minnesota Timberwolves,103
Fri Mar 10 2017,10:30 PM,Washington Wizards,130,Sacramento Kings,122
Sat Mar 11 2017,7:00 PM,New Orleans Pelicans,125,Charlotte Hornets,122
Sat Mar 11 2017,9:00 PM,Phoenix Suns,100,Dallas Mavericks,98
Sat Mar 11 2017,5:00 PM,New York Knicks,92,Detroit Pistons,112
Sat Mar 11 2017,3:30 PM,Philadelphia 76ers,100,Los Angeles Clippers,112
Sat Mar 11 2017,9:00 PM,Atlanta Hawks,107,Memphis Grizzlies,90
Sat Mar 11 2017,8:00 PM,Toronto Raptors,89,Miami Heat,104
Sat Mar 11 2017,8:00 PM,Minnesota Timberwolves,95,Milwaukee Bucks,102
Sat Mar 11 2017,3:00 PM,Utah Jazz,104,Oklahoma City Thunder,112
Sat Mar 11 2017,7:00 PM,Cleveland Cavaliers,116,Orlando Magic,104
Sat Mar 11 2017,10:00 PM,Washington Wizards,125,Portland Trail Blazers,124
Sat Mar 11 2017,10:30 PM,Denver Nuggets,105,Sacramento Kings,92
Sat Mar 11 2017,8:30 PM,Golden State Warriors,85,San Antonio Spurs,107
Sun Mar 12 2017,3:30 PM,Chicago Bulls,80,Boston Celtics,100
Sun Mar 12 2017,6:00 PM,New York Knicks,112,Brooklyn Nets,120
Sun Mar 12 2017,9:00 PM,Cleveland Cavaliers,112,Houston Rockets,117
Sun Mar 12 2017,6:00 PM,Miami Heat,98,Indiana Pacers,102
Sun Mar 12 2017,9:30 PM,Philadelphia 76ers,118,Los Angeles Lakers,116
Sun Mar 12 2017,9:00 PM,Portland Trail Blazers,110,Phoenix Suns,101
Mon Mar 13 2017,7:00 PM,Chicago Bulls,115,Charlotte Hornets,109
Mon Mar 13 2017,10:30 PM,Los Angeles Lakers,101,Denver Nuggets,129
Mon Mar 13 2017,8:00 PM,Milwaukee Bucks,93,Memphis Grizzlies,113
Mon Mar 13 2017,8:00 PM,Washington Wizards,104,Minnesota Timberwolves,119
Mon Mar 13 2017,10:30 PM,Orlando Magic,115,Sacramento Kings,120
Mon Mar 13 2017,8:00 PM,Atlanta Hawks,99,San Antonio Spurs,107
Mon Mar 13 2017,7:30 PM,Dallas Mavericks,78,Toronto Raptors,100
Mon Mar 13 2017,9:00 PM,Los Angeles Clippers,108,Utah Jazz,114
Tue Mar 14 2017,7:30 PM,Oklahoma City Thunder,122,Brooklyn Nets,104
Tue Mar 14 2017,7:00 PM,Detroit Pistons,96,Cleveland Cavaliers,128
Tue Mar 14 2017,10:30 PM,Philadelphia 76ers,104,Golden State Warriors,106
Tue Mar 14 2017,8:00 PM,Portland Trail Blazers,77,New Orleans Pelicans,100
Tue Mar 14 2017,7:30 PM,Indiana Pacers,81,New York Knicks,87
Wed Mar 15 2017,7:30 PM,Minnesota Timberwolves,104,Boston Celtics,117
Wed Mar 15 2017,8:00 PM,Memphis Grizzlies,98,Chicago Bulls,91
Wed Mar 15 2017,7:30 PM,Utah Jazz,97,Detroit Pistons,83
Wed Mar 15 2017,8:00 PM,Los Angeles Lakers,100,Houston Rockets,139
Wed Mar 15 2017,7:00 PM,Charlotte Hornets,77,Indiana Pacers,98
Wed Mar 15 2017,10:30 PM,Milwaukee Bucks,97,Los Angeles Clippers,96
Wed Mar 15 2017,7:30 PM,New Orleans Pelicans,112,Miami Heat,120
Wed Mar 15 2017,10:00 PM,Sacramento Kings,107,Phoenix Suns,101
Wed Mar 15 2017,8:00 PM,Portland Trail Blazers,110,San Antonio Spurs,106
Wed Mar 15 2017,7:00 PM,Dallas Mavericks,112,Washington Wizards,107
Thu Mar 16 2017,7:30 PM,Memphis Grizzlies,103,Atlanta Hawks,91
Thu Mar 16 2017,7:00 PM,Utah Jazz,83,Cleveland Cavaliers,91
Thu Mar 16 2017,9:00 PM,Los Angeles Clippers,114,Denver Nuggets,129
Thu Mar 16 2017,10:30 PM,Orlando Magic,92,Golden State Warriors,122
Thu Mar 16 2017,7:30 PM,Brooklyn Nets,121,New York Knicks,110
Thu Mar 16 2017,7:00 PM,Oklahoma City Thunder,123,Toronto Raptors,102
Fri Mar 17 2017,7:30 PM,Boston Celtics,98,Brooklyn Nets,95
Fri Mar 17 2017,7:30 PM,Toronto Raptors,87,Detroit Pistons,75
Fri Mar 17 2017,10:30 PM,Milwaukee Bucks,107,Los Angeles Lakers,103
Fri Mar 17 2017,8:00 PM,Minnesota Timberwolves,105,Miami Heat,123
Fri Mar 17 2017,8:00 PM,Houston Rockets,112,New Orleans Pelicans,128
Fri Mar 17 2017,7:00 PM,Dallas Mavericks,74,Philadelphia 76ers,116
Fri Mar 17 2017,10:00 PM,Orlando Magic,109,Phoenix Suns,103
Fri Mar 17 2017,7:00 PM,Chicago Bulls,107,Washington Wizards,112
Sat Mar 18 2017,6:00 PM,Portland Trail Blazers,113,Atlanta Hawks,97
Sat Mar 18 2017,9:00 PM,Utah Jazz,86,Chicago Bulls,95
Sat Mar 18 2017,7:00 PM,Washington Wizards,93,Charlotte Hornets,98
Sat Mar 18 2017,9:30 PM,Houston Rockets,109,Denver Nuggets,105
Sat Mar 18 2017,10:30 PM,Milwaukee Bucks,92,Golden State Warriors,117
Sat Mar 18 2017,8:30 PM,Cleveland Cavaliers,78,Los Angeles Clippers,108
Sat Mar 18 2017,9:00 PM,San Antonio Spurs,96,Memphis Grizzlies,104
Sat Mar 18 2017,3:00 PM,Sacramento Kings,94,Oklahoma City Thunder,110
Sun Mar 19 2017,12:00 PM,Dallas Mavericks,111,Brooklyn Nets,104
Sun Mar 19 2017,4:30 PM,Phoenix Suns,95,Detroit Pistons,112
Sun Mar 19 2017,9:30 PM,Cleveland Cavaliers,125,Los Angeles Lakers,120
Sun Mar 19 2017,6:00 PM,Portland Trail Blazers,115,Miami Heat,104
Sun Mar 19 2017,6:00 PM,Minnesota Timberwolves,109,New Orleans Pelicans,123
Sun Mar 19 2017,1:00 PM,Boston Celtics,99,Philadelphia 76ers,105
Sun Mar 19 2017,7:00 PM,Sacramento Kings,102,San Antonio Spurs,118
Sun Mar 19 2017,6:00 PM,Indiana Pacers,91,Toronto Raptors,116
Mon Mar 20 2017,7:30 PM,Washington Wizards,102,Boston Celtics,110
Mon Mar 20 2017,7:00 PM,Atlanta Hawks,90,Charlotte Hornets,105
Mon Mar 20 2017,8:00 PM,Denver Nuggets,124,Houston Rockets,125
Mon Mar 20 2017,7:00 PM,Utah Jazz,100,Indiana Pacers,107
Mon Mar 20 2017,10:30 PM,New York Knicks,105,Los Angeles Clippers,114
Mon Mar 20 2017,8:00 PM,Golden State Warriors,111,Oklahoma City Thunder,95
Mon Mar 20 2017,7:00 PM,Philadelphia 76ers,109,Orlando Magic,112
Tue Mar 21 2017,7:30 PM,Detroit Pistons,96,Brooklyn Nets,98
Tue Mar 21 2017,8:30 PM,Golden State Warriors,112,Dallas Mavericks,87
Tue Mar 21 2017,10:30 PM,Los Angeles Clippers,133,Los Angeles Lakers,109
Tue Mar 21 2017,7:30 PM,Phoenix Suns,97,Miami Heat,112
Tue Mar 21 2017,9:30 PM,San Antonio Spurs,100,Minnesota Timberwolves,93
Tue Mar 21 2017,8:00 PM,Memphis Grizzlies,82,New Orleans Pelicans,95
Tue Mar 21 2017,10:00 PM,Milwaukee Bucks,93,Portland Trail Blazers,90
Tue Mar 21 2017,7:00 PM,Chicago Bulls,120,Toronto Raptors,122
Wed Mar 22 2017,7:30 PM,Indiana Pacers,100,Boston Celtics,109
Wed Mar 22 2017,8:00 PM,Detroit Pistons,95,Chicago Bulls,117
Wed Mar 22 2017,9:00 PM,Cleveland Cavaliers,113,Denver Nuggets,126
Wed Mar 22 2017,8:00 PM,Philadelphia 76ers,97,Oklahoma City Thunder,122
Wed Mar 22 2017,7:00 PM,Charlotte Hornets,109,Orlando Magic,102
Wed Mar 22 2017,10:30 PM,Milwaukee Bucks,116,Sacramento Kings,98
Wed Mar 22 2017,10:30 PM,New York Knicks,101,Utah Jazz,108
Wed Mar 22 2017,8:00 PM,Atlanta Hawks,100,Washington Wizards,104
Thu Mar 23 2017,7:30 PM,Phoenix Suns,98,Brooklyn Nets,126
Thu Mar 23 2017,8:30 PM,Los Angeles Clippers,95,Dallas Mavericks,97
Thu Mar 23 2017,7:30 PM,Toronto Raptors,101,Miami Heat,84
Thu Mar 23 2017,10:00 PM,New York Knicks,95,Portland Trail Blazers,110
Thu Mar 23 2017,8:30 PM,Memphis Grizzlies,90,San Antonio Spurs,97
Fri Mar 24 2017,7:30 PM,Phoenix Suns,120,Boston Celtics,130
Fri Mar 24 2017,8:00 PM,Philadelphia 76ers,117,Chicago Bulls,107
Fri Mar 24 2017,7:00 PM,Cleveland Cavaliers,112,Charlotte Hornets,105
Fri Mar 24 2017,10:30 PM,Sacramento Kings,100,Golden State Warriors,114
Fri Mar 24 2017,8:00 PM,New Orleans Pelicans,107,Houston Rockets,117
Fri Mar 24 2017,7:00 PM,Denver Nuggets,125,Indiana Pacers,117
Fri Mar 24 2017,10:30 PM,Minnesota Timberwolves,119,Los Angeles Lakers,130
Fri Mar 24 2017,8:00 PM,Atlanta Hawks,97,Milwaukee Bucks,100
Fri Mar 24 2017,7:00 PM,Detroit Pistons,87,Orlando Magic,115
Fri Mar 24 2017,7:00 PM,Brooklyn Nets,108,Washington Wizards,129
Sat Mar 25 2017,7:30 PM,Washington Wizards,127,Cleveland Cavaliers,115
Sat Mar 25 2017,8:30 PM,Toronto Raptors,94,Dallas Mavericks,86
Sat Mar 25 2017,3:30 PM,Utah Jazz,95,Los Angeles Clippers,108
Sat Mar 25 2017,10:00 PM,Minnesota Timberwolves,100,Portland Trail Blazers,112
Sat Mar 25 2017,8:30 PM,New York Knicks,98,San Antonio Spurs,106
Sun Mar 26 2017,1:00 PM,Brooklyn Nets,107,Atlanta Hawks,92
Sun Mar 26 2017,6:00 PM,Miami Heat,108,Boston Celtics,112
Sun Mar 26 2017,1:00 PM,Phoenix Suns,106,Charlotte Hornets,120
Sun Mar 26 2017,8:00 PM,New Orleans Pelicans,115,Denver Nuggets,90
Sun Mar 26 2017,8:00 PM,Memphis Grizzlies,94,Golden State Warriors,106
Sun Mar 26 2017,3:30 PM,Oklahoma City Thunder,125,Houston Rockets,137
Sun Mar 26 2017,6:00 PM,Philadelphia 76ers,94,Indiana Pacers,107
Sun Mar 26 2017,3:30 PM,Sacramento Kings,98,Los Angeles Clippers,97
Sun Mar 26 2017,9:30 PM,Portland Trail Blazers,97,Los Angeles Lakers,81
Sun Mar 26 2017,3:30 PM,Chicago Bulls,109,Milwaukee Bucks,94
